Filename	20 raw rate 5
Instrument name	0550-0170 (192.168.1.100)
Operator	yogesh
rundate	4/22/2023
Sample name	20 raw
proceduresegments	Select Gas: Gas 1 ; Equilibrate 30.00 °C; Ramp 20 °C/min to 150.00 °C; Ramp 20 °C/min to 600.00 °C; Isothermal 5.0 min
[step]
Ramp 20 °C/min to 150.00 °C
Time	Temperature	Weight	Weight
min	°C	mg	%
0.00000	29.634	9.778	97.7090
1.66667e-3	29.634	9.778	97.7082
3.33333e-3	29.635	9.778	97.7074
5.00000e-3	29.635	9.778	97.7066
6.66667e-3	29.635	9.778	97.7058
8.33333e-3	29.635	9.778	97.7050
0.0100000	29.636	9.778	97.7043
0.0116667	29.636	9.778	97.7035
0.0133333	29.636	9.778	97.7027
0.0150000	29.636	9.778	97.7019
0.0166667	29.637	9.778	97.7011
0.0183333	29.637	9.777	97.7003
0.0200000	29.637	9.777	97.6995
0.0216667	29.638	9.777	97.6987
0.0233333	29.638	9.777	97.6979
0.0250000	29.638	9.777	97.6972
0.0266667	29.639	9.777	97.6964
0.0283333	29.639	9.777	97.6956
0.0300000	29.639	9.777	97.6948
0.0316667	29.640	9.777	97.6940
0.0333333	29.640	9.777	97.6933
0.0350000	29.640	9.777	97.6925
0.0366667	29.641	9.777	97.6917
0.0383333	29.641	9.777	97.6909
0.0400000	29.642	9.776	97.6902
0.0416667	29.642	9.776	97.6894
0.0433333	29.643	9.776	97.6886
0.0450000	29.643	9.776	97.6878
0.0466667	29.644	9.776	97.6871
0.0483333	29.644	9.776	97.6863
0.0500000	29.645	9.776	97.6855
0.0516667	29.645	9.776	97.6848
0.0533333	29.646	9.776	97.6840
0.0550000	29.646	9.776	97.6832
0.0566667	29.647	9.776	97.6825
0.0583333	29.648	9.776	97.6817
0.0600000	29.648	9.776	97.6809
0.0616667	29.649	9.775	97.6802
0.0633333	29.650	9.775	97.6794
0.0650000	29.650	9.775	97.6787
0.0666667	29.651	9.775	97.6779
0.0683333	29.652	9.775	97.6772
0.0700000	29.653	9.775	97.6764
0.0716667	29.654	9.775	97.6757
0.0733333	29.655	9.775	97.6749
0.0750000	29.655	9.775	97.6742
0.0766667	29.656	9.775	97.6734
0.0783333	29.657	9.775	97.6727
0.0800000	29.658	9.775	97.6720
0.0816667	29.659	9.775	97.6713
0.0833333	29.660	9.774	97.6705
0.0850000	29.662	9.774	97.6698
0.0866667	29.663	9.774	97.6691
0.0883333	29.664	9.774	97.6684
0.0900000	29.665	9.774	97.6676
0.0916667	29.666	9.774	97.6669
0.0933333	29.668	9.774	97.6662
0.0950000	29.669	9.774	97.6655
0.0966667	29.671	9.774	97.6648
0.0983333	29.672	9.774	97.6641
0.100000	29.674	9.774	97.6634
0.101667	29.675	9.774	97.6627
0.103333	29.677	9.774	97.6620
0.105000	29.678	9.774	97.6613
0.106667	29.680	9.773	97.6606
0.108333	29.682	9.773	97.6600
0.110000	29.683	9.773	97.6593
0.111667	29.685	9.773	97.6586
0.113333	29.687	9.773	97.6579
0.115000	29.689	9.773	97.6573
0.116667	29.691	9.773	97.6566
0.118333	29.693	9.773	97.6559
0.120000	29.695	9.773	97.6553
0.121667	29.698	9.773	97.6546
0.123333	29.700	9.773	97.6540
0.125000	29.702	9.773	97.6533
0.126667	29.704	9.773	97.6527
0.128333	29.707	9.773	97.6521
0.130000	29.709	9.773	97.6514
0.131667	29.712	9.772	97.6508
0.133333	29.715	9.772	97.6501
0.135000	29.717	9.772	97.6495
0.136667	29.720	9.772	97.6489
0.138333	29.723	9.772	97.6483
0.140000	29.726	9.772	97.6477
0.141667	29.729	9.772	97.6471
0.143333	29.732	9.772	97.6465
0.145000	29.735	9.772	97.6458
0.146667	29.738	9.772	97.6452
0.148333	29.741	9.772	97.6446
0.150000	29.744	9.772	97.6440
0.151667	29.748	9.772	97.6434
0.153333	29.751	9.772	97.6428
0.155000	29.755	9.772	97.6423
0.156667	29.758	9.772	97.6417
0.158333	29.762	9.772	97.6411
0.160000	29.766	9.771	97.6405
0.161667	29.770	9.771	97.6399
0.163333	29.774	9.771	97.6394
0.165000	29.778	9.771	97.6388
0.166667	29.782	9.771	97.6382
0.168333	29.786	9.771	97.6376
0.170000	29.790	9.771	97.6371
0.171667	29.795	9.771	97.6365
0.173333	29.799	9.771	97.6359
0.175000	29.804	9.771	97.6354
0.176667	29.808	9.771	97.6348
0.178333	29.813	9.771	97.6343
0.180000	29.818	9.771	97.6337
0.181667	29.823	9.771	97.6331
0.183333	29.828	9.771	97.6326
0.185000	29.833	9.771	97.6321
0.186667	29.838	9.771	97.6315
0.188333	29.843	9.771	97.6310
0.190000	29.848	9.770	97.6304
0.191667	29.854	9.770	97.6299
0.193333	29.859	9.770	97.6294
0.195000	29.865	9.770	97.6289
0.196667	29.871	9.770	97.6283
0.198333	29.877	9.770	97.6278
0.200000	29.882	9.770	97.6273
0.201667	29.888	9.770	97.6268
0.203333	29.895	9.770	97.6262
0.205000	29.901	9.770	97.6257
0.206667	29.907	9.770	97.6252
0.208333	29.914	9.770	97.6247
0.210000	29.920	9.770	97.6242
0.211667	29.927	9.770	97.6237
0.213333	29.933	9.770	97.6232
0.215000	29.940	9.770	97.6226
0.216667	29.947	9.770	97.6221
0.218333	29.954	9.770	97.6216
0.220000	29.961	9.770	97.6211
0.221667	29.968	9.769	97.6206
0.223333	29.976	9.769	97.6201
0.225000	29.983	9.769	97.6196
0.226667	29.991	9.769	97.6191
0.228333	29.998	9.769	97.6186
0.230000	30.006	9.769	97.6181
0.231667	30.014	9.769	97.6176
0.233333	30.022	9.769	97.6171
0.235000	30.030	9.769	97.6167
0.236667	30.038	9.769	97.6162
0.238333	30.046	9.769	97.6157
0.240000	30.055	9.769	97.6152
0.241667	30.063	9.769	97.6147
0.243333	30.072	9.769	97.6142
0.245000	30.081	9.769	97.6137
0.246667	30.089	9.769	97.6133
0.248333	30.098	9.769	97.6128
0.250000	30.107	9.769	97.6123
0.251667	30.117	9.769	97.6118
0.253333	30.126	9.769	97.6113
0.255000	30.135	9.769	97.6108
0.256667	30.145	9.768	97.6104
0.258333	30.154	9.768	97.6099
0.260000	30.164	9.768	97.6094
0.261667	30.174	9.768	97.6090
0.263333	30.184	9.768	97.6085
0.265000	30.194	9.768	97.6080
0.266667	30.204	9.768	97.6075
0.268333	30.214	9.768	97.6071
0.270000	30.225	9.768	97.6066
0.271667	30.235	9.768	97.6061
0.273333	30.246	9.768	97.6056
0.275000	30.256	9.768	97.6052
0.276667	30.267	9.768	97.6047
0.278333	30.278	9.768	97.6042
0.280000	30.289	9.768	97.6038
0.281667	30.300	9.768	97.6033
0.283333	30.312	9.768	97.6028
0.285000	30.323	9.768	97.6024
0.286667	30.334	9.768	97.6019
0.288333	30.346	9.768	97.6014
0.290000	30.358	9.768	97.6010
0.291667	30.370	9.767	97.6005
0.293333	30.382	9.767	97.6000
0.295000	30.394	9.767	97.5996
0.296667	30.406	9.767	97.5991
0.298333	30.418	9.767	97.5986
