Filename	GA Vikul 30Cmin
Instrument name	0550-0170 (192.168.1.100)
Operator	Shri Ram
rundate	9/16/2023
Sample name	GA Vikul 30C/min
proceduresegments	Select Gas: Gas 1 ; Equilibrate 30.00 °C; Ramp 20 °C/min to 150.00 °C; Isothermal 1.0 min; Ramp 30 °C/min to 850.00 °C
[step]
Ramp 20 °C/min to 150.00 °C
Time	Temperature	Weight	Weight
min	°C	mg	%
0.00000	30.290	10.54	99.9040
1.66667e-3	30.323	10.54	99.9026
3.33333e-3	30.356	10.54	99.8996
5.00000e-3	30.388	10.54	99.8969
6.66667e-3	30.421	10.54	99.8958
8.33333e-3	30.453	10.54	99.8950
0.0100000	30.486	10.54	99.8943
0.0116667	30.518	10.54	99.8935
0.0133333	30.551	10.54	99.8926
0.0150000	30.583	10.54	99.8901
0.0166667	30.615	10.54	99.8871
0.0183333	30.647	10.54	99.8855
0.0200000	30.679	10.54	99.8847
0.0216667	30.712	10.54	99.8840
0.0233333	30.744	10.54	99.8834
0.0250000	30.776	10.54	99.8827
0.0266667	30.807	10.54	99.8811
0.0283333	30.839	10.54	99.8772
0.0300000	30.871	10.54	99.8738
0.0316667	30.903	10.54	99.8727
0.0333333	30.934	10.53	99.8718
0.0350000	30.966	10.53	99.8711
0.0366667	30.997	10.53	99.8703
0.0383333	31.029	10.53	99.8682
0.0400000	31.060	10.53	99.8644
0.0416667	31.092	10.53	99.8614
0.0433333	31.123	10.53	99.8604
0.0450000	31.154	10.53	99.8596
0.0466667	31.185	10.53	99.8588
0.0483333	31.216	10.53	99.8581
0.0500000	31.247	10.53	99.8571
0.0516667	31.278	10.53	99.8545
0.0533333	31.309	10.53	99.8515
0.0550000	31.340	10.53	99.8498
0.0566667	31.371	10.53	99.8489
0.0583333	31.402	10.53	99.8482
0.0600000	31.432	10.53	99.8474
0.0616667	31.463	10.53	99.8465
0.0633333	31.493	10.53	99.8446
0.0650000	31.524	10.53	99.8415
0.0666667	31.554	10.53	99.8390
0.0683333	31.584	10.53	99.8380
0.0700000	31.615	10.53	99.8370
0.0716667	31.645	10.53	99.8362
0.0733333	31.675	10.53	99.8354
0.0750000	31.705	10.53	99.8340
0.0766667	31.735	10.53	99.8311
0.0783333	31.765	10.53	99.8279
0.0800000	31.795	10.53	99.8262
0.0816667	31.825	10.53	99.8253
0.0833333	31.854	10.53	99.8244
0.0850000	31.884	10.53	99.8236
0.0866667	31.914	10.53	99.8226
0.0883333	31.943	10.53	99.8199
0.0900000	31.973	10.53	99.8161
0.0916667	32.002	10.53	99.8135
0.0933333	32.031	10.53	99.8125
0.0950000	32.061	10.53	99.8116
0.0966667	32.090	10.53	99.8108
0.0983333	32.119	10.53	99.8098
0.100000	32.148	10.53	99.8076
0.101667	32.177	10.53	99.8037
0.103333	32.206	10.53	99.8006
0.105000	32.235	10.53	99.7994
0.106667	32.264	10.53	99.7980
0.108333	32.292	10.53	99.7971
0.110000	32.321	10.53	99.7962
0.111667	32.350	10.53	99.7945
0.113333	32.378	10.53	99.7910
0.115000	32.407	10.53	99.7877
0.116667	32.435	10.53	99.7861
0.118333	32.463	10.53	99.7851
0.120000	32.492	10.53	99.7838
0.121667	32.520	10.53	99.7829
0.123333	32.548	10.53	99.7817
0.125000	32.576	10.53	99.7791
0.126667	32.604	10.52	99.7761
0.128333	32.632	10.52	99.7740
0.130000	32.660	10.52	99.7730
0.131667	32.688	10.52	99.7720
0.133333	32.716	10.52	99.7711
0.135000	32.743	10.52	99.7700
0.136667	32.771	10.52	99.7683
0.138333	32.798	10.52	99.7656
0.140000	32.826	10.52	99.7629
0.141667	32.853	10.52	99.7612
0.143333	32.881	10.52	99.7601
0.145000	32.908	10.52	99.7592
0.146667	32.935	10.52	99.7582
0.148333	32.962	10.52	99.7570
0.150000	32.989	10.52	99.7547
0.151667	33.016	10.52	99.7516
0.153333	33.043	10.52	99.7491
0.155000	33.070	10.52	99.7478
0.156667	33.097	10.52	99.7467
0.158333	33.124	10.52	99.7458
0.160000	33.150	10.52	99.7447
0.161667	33.177	10.52	99.7427
0.163333	33.203	10.52	99.7395
0.165000	33.230	10.52	99.7364
0.166667	33.256	10.52	99.7347
0.168333	33.283	10.52	99.7336
0.170000	33.309	10.52	99.7326
0.171667	33.335	10.52	99.7316
0.173333	33.361	10.52	99.7300
0.175000	33.387	10.52	99.7271
0.176667	33.413	10.52	99.7238
0.178333	33.439	10.52	99.7217
0.180000	33.465	10.52	99.7206
0.181667	33.491	10.52	99.7195
0.183333	33.516	10.52	99.7185
0.185000	33.542	10.52	99.7172
0.186667	33.568	10.52	99.7148
0.188333	33.593	10.52	99.7117
0.190000	33.619	10.52	99.7092
0.191667	33.644	10.52	99.7075
0.193333	33.669	10.52	99.7064
0.195000	33.695	10.52	99.7053
0.196667	33.720	10.52	99.7042
0.198333	33.745	10.52	99.7024
0.200000	33.770	10.52	99.6998
0.201667	33.795	10.52	99.6970
0.203333	33.820	10.52	99.6948
0.205000	33.845	10.52	99.6934
0.206667	33.870	10.52	99.6922
0.208333	33.894	10.52	99.6911
0.210000	33.919	10.52	99.6899
0.211667	33.944	10.52	99.6878
0.213333	33.968	10.52	99.6847
0.215000	33.993	10.51	99.6815
0.216667	34.017	10.51	99.6794
0.218333	34.041	10.51	99.6782
0.220000	34.066	10.51	99.6770
0.221667	34.090	10.51	99.6759
0.223333	34.114	10.51	99.6743
0.225000	34.138	10.51	99.6715
0.226667	34.162	10.51	99.6676
0.228333	34.186	10.51	99.6645
0.230000	34.210	10.51	99.6631
0.231667	34.234	10.51	99.6620
0.233333	34.258	10.51	99.6608
0.235000	34.281	10.51	99.6596
0.236667	34.305	10.51	99.6570
0.238333	34.328	10.51	99.6530
0.240000	34.352	10.51	99.6492
0.241667	34.375	10.51	99.6471
0.243333	34.399	10.51	99.6460
0.245000	34.422	10.51	99.6449
0.246667	34.445	10.51	99.6437
0.248333	34.468	10.51	99.6415
0.250000	34.492	10.51	99.6378
0.251667	34.515	10.51	99.6337
0.253333	34.538	10.51	99.6311
0.255000	34.560	10.51	99.6299
0.256667	34.583	10.51	99.6288
0.258333	34.606	10.51	99.6276
0.260000	34.629	10.51	99.6260
0.261667	34.651	10.51	99.6227
0.263333	34.674	10.51	99.6187
0.265000	34.697	10.51	99.6155
0.266667	34.719	10.51	99.6137
0.268333	34.741	10.51	99.6126
0.270000	34.764	10.51	99.6115
0.271667	34.786	10.51	99.6103
0.273333	34.808	10.51	99.6078
0.275000	34.830	10.51	99.6039
0.276667	34.852	10.51	99.6000
0.278333	34.875	10.51	99.5975
0.280000	34.896	10.51	99.5962
0.281667	34.918	10.51	99.5951
0.283333	34.940	10.51	99.5939
0.285000	34.962	10.51	99.5923
0.286667	34.984	10.51	99.5890
0.288333	35.005	10.50	99.5844
0.290000	35.027	10.50	99.5808
0.291667	35.048	10.50	99.5791
0.293333	35.070	10.50	99.5779
0.295000	35.091	10.50	99.5768
0.296667	35.113	10.50	99.5756
0.298333	35.134	10.50	99.5728
0.300000	35.155	10.50	99.5679
0.301667	35.176	10.50	99.5634
0.303333	35.197	10.50	99.5611
0.305000	35.218	10.50	99.5599
0.306667	35.239	10.50	99.5576
0.308333	35.260	10.50	99.5564
0.310000	35.281	10.50	99.5541
0.311667	35.302	10.50	99.5494
0.313333	35.323	10.50	99.5443
0.315000	35.343	10.50	99.5414
0.316667	35.364	10.50	99.5402
0.318333	35.385	10.50	99.5378
0.320000	35.405	10.50	99.5367
0.321667	35.426	10.50	99.5349
0.323333	35.446	10.50	99.5307
0.325000	35.466	10.50	99.5256
0.326667	35.486	10.50	99.5221
0.328333	35.507	10.50	99.5207
0.330000	35.527	10.50	99.5196
0.331667	35.547	10.50	99.5185
0.333333	35.567	10.50	99.5171
0.335000	35.587	10.50	99.5138
0.336667	35.607	10.50	99.5090
0.338333	35.627	10.50	99.5051
0.340000	35.646	10.50	99.5030
0.341667	35.666	10.50	99.5019
0.343333	35.686	10.50	99.5008
0.345000	35.705	10.50	99.4997
0.346667	35.725	10.50	99.4973
0.348333	35.744	10.50	99.4933
0.350000	35.764	10.49	99.4891
0.351667	35.783	10.49	99.4864
0.353333	35.803	10.49	99.4850
0.355000	35.822	10.49	99.4839
0.356667	35.841	10.49	99.4828
0.358333	35.860	10.49	99.4813
0.360000	35.879	10.49	99.4777
0.361667	35.899	10.49	99.4731
0.363333	35.918	10.49	99.4696
0.365000	35.937	10.49	99.4676
0.366667	35.955	10.49	99.4665
0.368333	35.974	10.49	99.4655
0.370000	35.993	10.49	99.4643
0.371667	36.012	10.49	99.4616
0.373333	36.031	10.49	99.4569
0.375000	36.049	10.49	99.4523
0.376667	36.068	10.49	99.4497
0.378333	36.087	10.49	99.4486
0.380000	36.105	10.49	99.4460
0.381667	36.124	10.49	99.4449
0.383333	36.142	10.49	99.4427
0.385000	36.161	10.49	99.4388
0.386667	36.179	10.49	99.4340
0.388333	36.197	10.49	99.4308
0.390000	36.216	10.49	99.4295
0.391667	36.234	10.49	99.4285
0.393333	36.252	10.49	99.4274
0.395000	36.270	10.49	99.4257
0.396667	36.288	10.49	99.4220
0.398333	36.306	10.49	99.4173
0.400000	36.324	10.49	99.4137
0.401667	36.342	10.49	99.4120
