Filename	GREEN ALGAE 40CMIN
Instrument name	0550-0170 (192.168.1.100)
Operator	Shri Ram
rundate	8/4/2023
Sample name	GREEN ALGAE 40C/MIN
proceduresegments	Select Gas: Gas 1 ; Equilibrate 30.00 °C; Ramp 20 °C/min to 150.00 °C; Isothermal 1.0 min; Ramp 40 °C/min to 700.00 °C
[step]
Ramp 20 °C/min to 150.00 °C
Time	Temperature	Weight	Weight
min	°C	mg	%
0.00000	20.266	9.399	99.7954
1.66667e-3	20.272	9.399	99.7915
3.33333e-3	20.278	9.399	99.7912
5.00000e-3	20.284	9.399	99.7914
6.66667e-3	20.290	9.399	99.7931
8.33333e-3	20.296	9.399	99.7936
0.0100000	20.302	9.399	99.7935
0.0116667	20.308	9.398	99.7906
0.0133333	20.314	9.398	99.7858
0.0150000	20.320	9.398	99.7852
0.0166667	20.326	9.398	99.7854
0.0183333	20.332	9.398	99.7865
0.0200000	20.339	9.398	99.7872
0.0216667	20.345	9.398	99.7872
0.0233333	20.351	9.398	99.7859
0.0250000	20.358	9.398	99.7831
0.0266667	20.364	9.398	99.7824
0.0283333	20.371	9.398	99.7824
0.0300000	20.377	9.398	99.7832
0.0316667	20.384	9.398	99.7843
0.0333333	20.390	9.398	99.7851
0.0350000	20.397	9.398	99.7849
0.0366667	20.404	9.398	99.7829
0.0383333	20.410	9.398	99.7811
0.0400000	20.417	9.398	99.7809
0.0416667	20.424	9.398	99.7810
0.0433333	20.430	9.398	99.7816
0.0450000	20.437	9.398	99.7819
0.0466667	20.444	9.398	99.7818
0.0483333	20.451	9.398	99.7811
0.0500000	20.458	9.397	99.7798
0.0516667	20.465	9.397	99.7795
0.0533333	20.472	9.397	99.7795
0.0550000	20.479	9.397	99.7800
0.0566667	20.486	9.398	99.7809
0.0583333	20.493	9.398	99.7811
0.0600000	20.500	9.398	99.7809
0.0616667	20.508	9.397	99.7800
0.0633333	20.515	9.397	99.7791
0.0650000	20.522	9.397	99.7789
0.0666667	20.529	9.397	99.7791
0.0683333	20.537	9.397	99.7801
0.0700000	20.544	9.398	99.7805
0.0716667	20.551	9.398	99.7805
0.0733333	20.559	9.397	99.7798
0.0750000	20.566	9.397	99.7781
0.0766667	20.574	9.397	99.7777
0.0783333	20.581	9.397	99.7778
0.0800000	20.589	9.397	99.7784
0.0816667	20.596	9.397	99.7792
0.0833333	20.604	9.397	99.7793
0.0850000	20.612	9.397	99.7789
0.0866667	20.619	9.397	99.7767
0.0883333	20.627	9.397	99.7755
0.0900000	20.635	9.397	99.7754
0.0916667	20.643	9.397	99.7757
0.0933333	20.651	9.397	99.7765
0.0950000	20.658	9.397	99.7767
0.0966667	20.666	9.397	99.7765
0.0983333	20.674	9.397	99.7747
0.100000	20.682	9.397	99.7731
0.101667	20.690	9.397	99.7728
0.103333	20.698	9.397	99.7729
0.105000	20.706	9.397	99.7734
0.106667	20.714	9.397	99.7737
0.108333	20.723	9.397	99.7736
0.110000	20.731	9.397	99.7727
0.111667	20.739	9.397	99.7711
0.113333	20.747	9.397	99.7706
0.115000	20.755	9.397	99.7706
0.116667	20.764	9.397	99.7708
0.118333	20.772	9.397	99.7710
0.120000	20.780	9.397	99.7710
0.121667	20.789	9.397	99.7707
0.123333	20.797	9.397	99.7696
0.125000	20.806	9.396	99.7687
0.126667	20.814	9.396	99.7684
0.128333	20.823	9.396	99.7683
0.130000	20.831	9.396	99.7685
0.131667	20.840	9.396	99.7687
0.133333	20.848	9.396	99.7686
0.135000	20.857	9.396	99.7681
0.136667	20.866	9.396	99.7666
0.138333	20.874	9.396	99.7658
0.140000	20.883	9.396	99.7656
0.141667	20.892	9.396	99.7657
0.143333	20.901	9.396	99.7660
0.145000	20.910	9.396	99.7661
0.146667	20.919	9.396	99.7658
0.148333	20.927	9.396	99.7639
0.150000	20.936	9.396	99.7617
0.151667	20.945	9.396	99.7613
0.153333	20.954	9.396	99.7613
0.155000	20.964	9.396	99.7618
0.156667	20.973	9.396	99.7620
0.158333	20.982	9.396	99.7618
0.160000	20.991	9.396	99.7600
0.161667	21.000	9.395	99.7569
0.163333	21.009	9.395	99.7561
0.165000	21.019	9.395	99.7560
0.166667	21.028	9.395	99.7564
0.168333	21.037	9.395	99.7568
0.170000	21.047	9.395	99.7567
0.171667	21.056	9.395	99.7557
0.173333	21.065	9.395	99.7528
0.175000	21.075	9.395	99.7516
0.176667	21.084	9.395	99.7514
0.178333	21.094	9.395	99.7515
0.180000	21.104	9.395	99.7518
0.181667	21.113	9.395	99.7518
0.183333	21.123	9.395	99.7514
0.185000	21.133	9.395	99.7497
0.186667	21.142	9.394	99.7481
0.188333	21.152	9.394	99.7477
0.190000	21.162	9.394	99.7476
0.191667	21.172	9.394	99.7477
0.193333	21.182	9.394	99.7479
0.195000	21.191	9.394	99.7477
