Filename	GREEN ALGAE 5Cmin
Instrument name	0550-0170 (192.168.1.100)
Operator	Shri Ram
rundate	8/9/2023
Sample name	GREEN ALGAE 5C/min
proceduresegments	Select Gas: Gas 1 ; Equilibrate 30.00 °C; Ramp 20 °C/min to 150.00 °C; Isothermal 1.0 min; Ramp 5 °C/min to 850.00 °C
[step]
Ramp 20 °C/min to 150.00 °C
Time	Temperature	Weight	Weight
min	°C	mg	%
0.00000	33.027	10.54	99.4228
1.66667e-3	33.069	10.54	99.4233
3.33333e-3	33.112	10.54	99.4240
5.00000e-3	33.155	10.54	99.4254
6.66667e-3	33.197	10.54	99.4263
8.33333e-3	33.240	10.54	99.4265
0.0100000	33.282	10.54	99.4155
0.0116667	33.325	10.53	99.4022
0.0133333	33.367	10.53	99.3998
0.0150000	33.409	10.53	99.4017
0.0166667	33.451	10.53	99.4030
0.0183333	33.493	10.53	99.4043
0.0200000	33.535	10.53	99.4047
0.0216667	33.577	10.53	99.3989
0.0233333	33.618	10.53	99.3819
0.0250000	33.660	10.53	99.3746
0.0266667	33.701	10.53	99.3751
0.0283333	33.743	10.53	99.3762
0.0300000	33.784	10.53	99.3791
0.0316667	33.826	10.53	99.3798
0.0333333	33.867	10.53	99.3788
0.0350000	33.908	10.53	99.3619
0.0366667	33.949	10.53	99.3470
0.0383333	33.990	10.53	99.3464
0.0400000	34.030	10.53	99.3471
0.0416667	34.071	10.53	99.3505
0.0433333	34.112	10.53	99.3521
0.0450000	34.152	10.53	99.3526
0.0466667	34.193	10.53	99.3410
0.0483333	34.233	10.53	99.3205
0.0500000	34.273	10.52	99.3166
0.0516667	34.314	10.52	99.3190
0.0533333	34.354	10.53	99.3214
0.0550000	34.394	10.53	99.3242
0.0566667	34.434	10.53	99.3258
0.0583333	34.473	10.53	99.3211
0.0600000	34.513	10.52	99.3003
0.0616667	34.553	10.52	99.2905
0.0633333	34.592	10.52	99.2912
0.0650000	34.632	10.52	99.2923
0.0666667	34.671	10.52	99.2954
0.0683333	34.710	10.52	99.2962
0.0700000	34.750	10.52	99.2962
0.0716667	34.789	10.52	99.2810
0.0733333	34.828	10.52	99.2651
0.0750000	34.867	10.52	99.2639
0.0766667	34.905	10.52	99.2658
0.0783333	34.944	10.52	99.2683
0.0800000	34.983	10.52	99.2702
0.0816667	35.021	10.52	99.2709
0.0833333	35.060	10.52	99.2635
0.0850000	35.098	10.52	99.2431
0.0866667	35.137	10.52	99.2362
0.0883333	35.175	10.52	99.2370
0.0900000	35.213	10.52	99.2384
0.0916667	35.251	10.52	99.2415
0.0933333	35.289	10.52	99.2422
0.0950000	35.327	10.52	99.2410
0.0966667	35.365	10.51	99.2217
0.0983333	35.402	10.51	99.2061
0.100000	35.440	10.51	99.2060
0.101667	35.477	10.51	99.2071
0.103333	35.515	10.51	99.2106
0.105000	35.552	10.51	99.2124
0.106667	35.589	10.51	99.2132
0.108333	35.626	10.51	99.1996
0.110000	35.663	10.51	99.1758
0.111667	35.700	10.51	99.1719
0.113333	35.737	10.51	99.1756
0.115000	35.774	10.51	99.1785
0.116667	35.811	10.51	99.1819
0.118333	35.847	10.51	99.1824
0.120000	35.884	10.51	99.1764
0.121667	35.920	10.51	99.1499
0.123333	35.957	10.51	99.1399
0.125000	35.993	10.51	99.1413
0.126667	36.029	10.51	99.1430
0.128333	36.065	10.51	99.1473
0.130000	36.101	10.51	99.1482
