Filename	Rice Straw 40C
Instrument name	0550-0170 (192.168.1.100)
Operator	tariq
rundate	9/24/2023
Sample name	Rice Straw 40C
proceduresegments	Select Gas: Gas 1 ; Ramp 20 °C/min to 150.00 °C; Isothermal 1.0 min; Ramp 40 °C/min to 900.00 °C
[step]
Ramp 20 °C/min to 150.00 °C
Time	Temperature	Weight	Weight
min	°C	mg	%
0.00000	21.305	10.74	100.003
1.66667e-3	21.328	10.74	100.001
3.33333e-3	21.351	10.74	99.9995
5.00000e-3	21.374	10.74	99.9981
6.66667e-3	21.397	10.74	99.9985
8.33333e-3	21.420	10.74	100.001
0.0100000	21.443	10.74	100.004
0.0116667	21.466	10.74	100.004
0.0133333	21.490	10.74	100.003
0.0150000	21.513	10.74	100.003
0.0166667	21.536	10.74	100.003
0.0183333	21.559	10.74	100.004
0.0200000	21.583	10.74	100.005
0.0216667	21.606	10.74	100.005
0.0233333	21.630	10.74	100.002
0.0250000	21.653	10.74	100.001
0.0266667	21.676	10.74	100.001
0.0283333	21.700	10.74	100.001
0.0300000	21.723	10.74	100.001
0.0316667	21.747	10.74	100.001
0.0333333	21.770	10.74	99.9993
0.0350000	21.794	10.74	99.9981
0.0366667	21.817	10.74	99.9975
0.0383333	21.841	10.74	99.9979
0.0400000	21.864	10.74	99.9984
0.0416667	21.888	10.74	99.9980
0.0433333	21.911	10.74	99.9975
0.0450000	21.935	10.74	99.9968
0.0466667	21.959	10.74	99.9963
0.0483333	21.982	10.74	99.9963
0.0500000	22.006	10.74	99.9969
0.0516667	22.030	10.74	99.9970
0.0533333	22.053	10.74	99.9967
0.0550000	22.077	10.74	99.9956
0.0566667	22.100	10.74	99.9946
0.0583333	22.124	10.74	99.9943
0.0600000	22.148	10.74	99.9945
0.0616667	22.171	10.74	99.9950
0.0633333	22.195	10.74	99.9949
0.0650000	22.219	10.74	99.9943
0.0666667	22.243	10.74	99.9928
0.0683333	22.266	10.74	99.9921
0.0700000	22.290	10.74	99.9919
0.0716667	22.314	10.74	99.9921
0.0733333	22.337	10.74	99.9922
0.0750000	22.361	10.74	99.9920
0.0766667	22.385	10.74	99.9913
0.0783333	22.408	10.74	99.9901
0.0800000	22.432	10.74	99.9896
0.0816667	22.456	10.74	99.9895
0.0833333	22.479	10.74	99.9895
0.0850000	22.503	10.74	99.9894
0.0866667	22.527	10.74	99.9892
0.0883333	22.550	10.74	99.9886
0.0900000	22.574	10.74	99.9879
0.0916667	22.597	10.74	99.9875
0.0933333	22.621	10.74	99.9873
0.0950000	22.645	10.74	99.9871
0.0966667	22.667	10.74	99.9869
0.0983333	22.690	10.74	99.9866
0.100000	22.713	10.74	99.9862
0.101667	22.735	10.74	99.9858
0.103333	22.758	10.74	99.9854
0.105000	22.781	10.74	99.9850
0.106667	22.803	10.74	99.9846
0.108333	22.826	10.74	99.9843
0.110000	22.848	10.74	99.9840
0.111667	22.871	10.74	99.9837
0.113333	22.893	10.74	99.9834
0.115000	22.916	10.74	99.9829
0.116667	22.938	10.74	99.9821
0.118333	22.961	10.74	99.9815
0.120000	22.983	10.74	99.9811
0.121667	23.006	10.74	99.9809
0.123333	23.028	10.74	99.9808
0.125000	23.050	10.74	99.9805
0.126667	23.073	10.74	99.9797
0.128333	23.095	10.74	99.9776
0.130000	23.118	10.74	99.9762
0.131667	23.140	10.74	99.9758
0.133333	23.162	10.74	99.9757
0.135000	23.185	10.74	99.9756
0.136667	23.207	10.74	99.9753
0.138333	23.229	10.74	99.9739
0.140000	23.251	10.74	99.9703
0.141667	23.274	10.74	99.9685
0.143333	23.296	10.74	99.9681
0.145000	23.318	10.74	99.9680
0.146667	23.340	10.74	99.9680
0.148333	23.362	10.74	99.9676
0.150000	23.384	10.74	99.9656
0.151667	23.406	10.74	99.9612
0.153333	23.429	10.74	99.9596
0.155000	23.451	10.74	99.9593
0.156667	23.473	10.74	99.9592
