Filename	Rice Straw 5C
Instrument name	0550-0170 (192.168.1.100)
Operator	tariq
rundate	9/24/2023
Sample name	Rice Straw 5C
proceduresegments	Select Gas: Gas 1 ; Ramp 20 °C/min to 150.00 °C; Isothermal 1.0 min; Ramp 5 °C/min to 900.00 °C
[step]
Ramp 5 °C/min to 900.00 °C
Time	Temperature	Weight	Weight
min	°C	mg	%
7.33667	149.266	9.610	90.2037
7.33833	149.276	9.610	90.2030
7.34000	149.286	9.610	90.2023
7.34167	149.296	9.610	90.2015
7.34333	149.306	9.610	90.2008
7.34500	149.316	9.610	90.2000
7.34667	149.326	9.610	90.1993
7.34833	149.336	9.610	90.1986
7.35000	149.345	9.610	90.1978
7.35167	149.355	9.610	90.1971
7.35333	149.365	9.610	90.1963
7.35500	149.375	9.609	90.1956
7.35667	149.384	9.609	90.1949
7.35833	149.394	9.609	90.1941
7.36000	149.404	9.609	90.1934
7.36167	149.413	9.609	90.1926
7.36333	149.423	9.609	90.1919
7.36500	149.432	9.609	90.1912
7.36667	149.442	9.609	90.1904
7.36833	149.451	9.609	90.1897
7.37000	149.461	9.609	90.1890
7.37167	149.470	9.609	90.1882
7.37333	149.480	9.609	90.1875
7.37500	149.489	9.609	90.1868
7.37667	149.499	9.608	90.1860
7.37833	149.508	9.608	90.1853
7.38000	149.517	9.608	90.1845
7.38167	149.527	9.608	90.1838
7.38333	149.536	9.608	90.1831
7.38500	149.545	9.608	90.1824
7.38667	149.555	9.608	90.1816
7.38833	149.564	9.608	90.1809
7.39000	149.573	9.608	90.1802
7.39167	149.582	9.608	90.1794
7.39333	149.592	9.608	90.1787
7.39500	149.601	9.608	90.1780
7.39667	149.610	9.607	90.1772
7.39833	149.619	9.607	90.1765
7.40000	149.628	9.607	90.1758
7.40167	149.637	9.607	90.1750
7.40333	149.647	9.607	90.1743
7.40500	149.656	9.607	90.1736
7.40667	149.665	9.607	90.1728
7.40833	149.674	9.607	90.1721
7.41000	149.683	9.607	90.1714
7.41167	149.692	9.607	90.1707
7.41333	149.701	9.607	90.1699
7.41500	149.710	9.607	90.1692
7.41667	149.719	9.607	90.1685
7.41833	149.728	9.606	90.1678
7.42000	149.737	9.606	90.1670
7.42167	149.746	9.606	90.1663
7.42333	149.754	9.606	90.1656
7.42500	149.763	9.606	90.1649
7.42667	149.772	9.606	90.1641
7.42833	149.781	9.606	90.1634
7.43000	149.790	9.606	90.1627
7.43167	149.799	9.606	90.1620
7.43333	149.808	9.606	90.1612
7.43500	149.816	9.606	90.1605
7.43667	149.825	9.606	90.1598
7.43833	149.834	9.606	90.1591
7.44000	149.843	9.605	90.1583
7.44167	149.851	9.605	90.1576
7.44333	149.860	9.605	90.1569
7.44500	149.869	9.605	90.1562
7.44667	149.878	9.605	90.1555
7.44833	149.886	9.605	90.1547
7.45000	149.895	9.605	90.1540
7.45167	149.904	9.605	90.1533
7.45333	149.912	9.605	90.1526
7.45500	149.921	9.605	90.1519
7.45667	149.930	9.605	90.1512
7.45833	149.938	9.605	90.1504
7.46000	149.947	9.605	90.1497
7.46167	149.956	9.604	90.1490
7.46333	149.964	9.604	90.1483
7.46500	149.973	9.604	90.1476
7.46667	149.981	9.604	90.1468
7.46833	149.990	9.604	90.1461
7.47000	149.999	9.604	90.1454
7.47167	150.007	9.604	90.1447
7.47333	150.016	9.604	90.1440
7.47500	150.024	9.604	90.1433
7.47667	150.033	9.604	90.1426
7.47833	150.041	9.604	90.1418
7.48000	150.050	9.604	90.1411
7.48167	150.058	9.604	90.1404
7.48333	150.067	9.604	90.1397
7.48500	150.075	9.603	90.1390
7.48667	150.084	9.603	90.1383
7.48833	150.092	9.603	90.1376
7.49000	150.101	9.603	90.1369
7.49167	150.109	9.603	90.1362
7.49333	150.118	9.603	90.1355
7.49500	150.126	9.603	90.1348
7.49667	150.135	9.603	90.1341
7.49833	150.143	9.603	90.1333
7.50000	150.151	9.603	90.1326
7.50167	150.160	9.603	90.1319
7.50333	150.168	9.603	90.1312
7.50500	150.177	9.603	90.1305
7.50667	150.185	9.602	90.1298
7.50833	150.194	9.602	90.1291
7.51000	150.202	9.602	90.1284
7.51167	150.210	9.602	90.1277
7.51333	150.219	9.602	90.1270
7.51500	150.227	9.602	90.1263
7.51667	150.236	9.602	90.1256
7.51833	150.244	9.602	90.1249
7.52000	150.252	9.602	90.1241
7.52167	150.261	9.602	90.1235
7.52333	150.269	9.602	90.1227
7.52500	150.278	9.602	90.1220
7.52667	150.286	9.602	90.1213
7.52833	150.294	9.601	90.1206
7.53000	150.303	9.601	90.1199
7.53167	150.311	9.601	90.1192
7.53333	150.319	9.601	90.1185
7.53500	150.328	9.601	90.1178
7.53667	150.336	9.601	90.1171
7.53833	150.344	9.601	90.1164
7.54000	150.353	9.601	90.1157
7.54167	150.361	9.601	90.1150
7.54333	150.370	9.601	90.1143
7.54500	150.378	9.601	90.1136
7.54667	150.386	9.601	90.1129
7.54833	150.395	9.601	90.1122
7.55000	150.403	9.600	90.1115
7.55167	150.411	9.600	90.1108
7.55333	150.420	9.600	90.1101
7.55500	150.428	9.600	90.1094
7.55667	150.436	9.600	90.1087
7.55833	150.445	9.600	90.1080
7.56000	150.453	9.600	90.1073
7.56167	150.461	9.600	90.1066
7.56333	150.470	9.600	90.1059
7.56500	150.478	9.600	90.1052
7.56667	150.487	9.600	90.1045
7.56833	150.495	9.600	90.1038
7.57000	150.503	9.600	90.1031
7.57167	150.512	9.600	90.1024
7.57333	150.520	9.599	90.1017
7.57500	150.528	9.599	90.1010
7.57667	150.537	9.599	90.1003
7.57833	150.545	9.599	90.0996
7.58000	150.553	9.599	90.0989
7.58167	150.562	9.599	90.0982
7.58333	150.570	9.599	90.0975
7.58500	150.579	9.599	90.0968
7.58667	150.587	9.599	90.0961
7.58833	150.595	9.599	90.0954
7.59000	150.604	9.599	90.0947
7.59167	150.612	9.599	90.0940
7.59333	150.620	9.599	90.0933
7.59500	150.629	9.598	90.0926
7.59667	150.637	9.598	90.0919
7.59833	150.646	9.598	90.0912
7.60000	150.654	9.598	90.0906
7.60167	150.662	9.598	90.0899
7.60333	150.671	9.598	90.0892
7.60500	150.679	9.598	90.0885
7.60667	150.688	9.598	90.0878
7.60833	150.696	9.598	90.0871
7.61000	150.704	9.598	90.0864
7.61167	150.713	9.598	90.0857
7.61333	150.721	9.598	90.0850
7.61500	150.730	9.598	90.0843
7.61667	150.738	9.598	90.0836
7.61833	150.747	9.597	90.0829
7.62000	150.755	9.597	90.0822
7.62167	150.763	9.597	90.0816
7.62333	150.772	9.597	90.0809
7.62500	150.780	9.597	90.0802
7.62667	150.789	9.597	90.0795
7.62833	150.797	9.597	90.0788
7.63000	150.806	9.597	90.0781
7.63167	150.814	9.597	90.0774
7.63333	150.823	9.597	90.0767
7.63500	150.831	9.597	90.0760
7.63667	150.840	9.597	90.0753
7.63833	150.848	9.597	90.0747
7.64000	150.857	9.596	90.0740
7.64167	150.865	9.596	90.0733
7.64333	150.874	9.596	90.0726
7.64500	150.882	9.596	90.0719
7.64667	150.891	9.596	90.0712
7.64833	150.899	9.596	90.0705
7.65000	150.908	9.596	90.0698
7.65167	150.916	9.596	90.0691
7.65333	150.925	9.596	90.0684
7.65500	150.933	9.596	90.0678
7.65667	150.942	9.596	90.0671
7.65833	150.950	9.596	90.0664
