Filename	chinese fir rate 5(4)
Instrument name	0550-0170 (192.168.1.100)
Operator	yogesh
rundate	6/8/2019
Sample name	chinese fir
proceduresegments	Select Gas: Gas 1 ; Equilibrate 25.00 °C; Ramp 20 °C/min to 150.00 °C; Ramp 30 °C/min to 600.00 °C; Isothermal 5.0 min
[step]
Ramp 20 °C/min to 150.00 °C
Time	Temperature	Weight	Weight
min	°C	mg	%
0.00000	25.497	10.70	99.8906
1.66667e-3	25.498	10.70	99.8907
3.33333e-3	25.499	10.69	99.8897
5.00000e-3	25.500	10.69	99.8866
6.66667e-3	25.501	10.69	99.8858
8.33333e-3	25.502	10.69	99.8857
0.0100000	25.502	10.69	99.8859
0.0116667	25.503	10.69	99.8861
0.0133333	25.504	10.69	99.8860
0.0150000	25.505	10.69	99.8857
0.0166667	25.506	10.69	99.8851
0.0183333	25.507	10.69	99.8848
0.0200000	25.507	10.69	99.8846
0.0216667	25.508	10.69	99.8846
0.0233333	25.509	10.69	99.8845
0.0250000	25.510	10.69	99.8843
0.0266667	25.511	10.69	99.8842
0.0283333	25.512	10.69	99.8841
0.0300000	25.512	10.69	99.8839
0.0316667	25.513	10.69	99.8836
0.0333333	25.514	10.69	99.8832
0.0350000	25.515	10.69	99.8829
0.0366667	25.516	10.69	99.8828
0.0383333	25.517	10.69	99.8829
0.0400000	25.518	10.69	99.8830
0.0416667	25.518	10.69	99.8829
0.0433333	25.519	10.69	99.8817
0.0450000	25.520	10.69	99.8791
0.0466667	25.521	10.69	99.8785
0.0483333	25.522	10.69	99.8786
0.0500000	25.523	10.69	99.8794
0.0516667	25.524	10.69	99.8798
0.0533333	25.525	10.69	99.8796
0.0550000	25.526	10.69	99.8771
0.0566667	25.526	10.69	99.8720
0.0583333	25.527	10.69	99.8713
0.0600000	25.528	10.69	99.8715
0.0616667	25.529	10.69	99.8735
0.0633333	25.530	10.69	99.8741
0.0650000	25.531	10.69	99.8738
0.0666667	25.532	10.69	99.8703
0.0683333	25.533	10.69	99.8658
0.0700000	25.534	10.69	99.8655
0.0716667	25.535	10.69	99.8657
0.0733333	25.536	10.69	99.8674
0.0750000	25.537	10.69	99.8677
0.0766667	25.538	10.69	99.8674
0.0783333	25.539	10.69	99.8645
0.0800000	25.540	10.69	99.8625
0.0816667	25.541	10.69	99.8623
0.0833333	25.542	10.69	99.8625
0.0850000	25.543	10.69	99.8628
0.0866667	25.544	10.69	99.8629
0.0883333	25.545	10.69	99.8626
0.0900000	25.546	10.69	99.8618
0.0916667	25.547	10.69	99.8615
0.0933333	25.548	10.69	99.8613
0.0950000	25.549	10.69	99.8613
0.0966667	25.551	10.69	99.8612
0.0983333	25.552	10.69	99.8611
0.100000	25.553	10.69	99.8609
0.101667	25.554	10.69	99.8608
0.103333	25.555	10.69	99.8607
0.105000	25.556	10.69	99.8605
0.106667	25.557	10.69	99.8601
0.108333	25.559	10.69	99.8597
0.110000	25.560	10.69	99.8595
0.111667	25.561	10.69	99.8595
0.113333	25.562	10.69	99.8598
0.115000	25.563	10.69	99.8598
0.116667	25.565	10.69	99.8594
0.118333	25.566	10.69	99.8570
0.120000	25.567	10.69	99.8555
0.121667	25.569	10.69	99.8553
0.123333	25.570	10.69	99.8558
0.125000	25.571	10.69	99.8569
0.126667	25.573	10.69	99.8570
0.128333	25.574	10.69	99.8558
0.130000	25.575	10.69	99.8503
0.131667	25.577	10.69	99.8487
0.133333	25.578	10.69	99.8487
0.135000	25.580	10.69	99.8503
0.136667	25.581	10.69	99.8514
0.138333	25.583	10.69	99.8513
0.140000	25.584	10.69	99.8495
0.141667	25.586	10.69	99.8452
0.143333	25.587	10.69	99.8445
0.145000	25.589	10.69	99.8446
0.146667	25.591	10.69	99.8459
0.148333	25.592	10.69	99.8463
0.150000	25.594	10.69	99.8462
0.151667	25.596	10.69	99.8449
0.153333	25.597	10.69	99.8435
0.155000	25.599	10.69	99.8433
0.156667	25.601	10.69	99.8433
0.158333	25.603	10.69	99.8435
0.160000	25.605	10.69	99.8436
0.161667	25.607	10.69	99.8434
0.163333	25.608	10.69	99.8431
0.165000	25.610	10.69	99.8428
0.166667	25.612	10.69	99.8427
0.168333	25.614	10.69	99.8426
0.170000	25.616	10.69	99.8425
0.171667	25.619	10.69	99.8424
0.173333	25.621	10.69	99.8423
0.175000	25.623	10.69	99.8423
0.176667	25.625	10.69	99.8422
0.178333	25.627	10.69	99.8421
0.180000	25.630	10.69	99.8418
0.181667	25.632	10.69	99.8415
0.183333	25.634	10.69	99.8412
0.185000	25.637	10.69	99.8412
0.186667	25.639	10.69	99.8415
0.188333	25.642	10.69	99.8417
0.190000	25.644	10.69	99.8415
0.191667	25.647	10.69	99.8406
0.193333	25.649	10.69	99.8396
0.195000	25.652	10.69	99.8393
0.196667	25.655	10.69	99.8395
0.198333	25.657	10.69	99.8405
0.200000	25.660	10.69	99.8407
0.201667	25.663	10.69	99.8405
0.203333	25.666	10.69	99.8384
0.205000	25.669	10.69	99.8368
0.206667	25.672	10.69	99.8366
0.208333	25.675	10.69	99.8370
0.210000	25.678	10.69	99.8381
0.211667	25.681	10.69	99.8383
0.213333	25.684	10.69	99.8380
0.215000	25.687	10.69	99.8360
0.216667	25.690	10.69	99.8348
0.218333	25.694	10.69	99.8347
0.220000	25.697	10.69	99.8351
0.221667	25.700	10.69	99.8357
0.223333	25.704	10.69	99.8358
0.225000	25.707	10.69	99.8355
0.226667	25.711	10.69	99.8347
0.228333	25.714	10.69	99.8343
0.230000	25.718	10.69	99.8342
0.231667	25.722	10.69	99.8344
0.233333	25.726	10.69	99.8346
0.235000	25.729	10.69	99.8345
0.236667	25.733	10.69	99.8343
0.238333	25.737	10.69	99.8341
0.240000	25.741	10.69	99.8339
0.241667	25.745	10.69	99.8338
0.243333	25.749	10.69	99.8337
0.245000	25.754	10.69	99.8337
0.246667	25.758	10.69	99.8336
0.248333	25.762	10.69	99.8335
0.250000	25.766	10.69	99.8335
0.251667	25.771	10.69	99.8335
0.253333	25.775	10.69	99.8333
0.255000	25.780	10.69	99.8330
0.256667	25.784	10.69	99.8327
0.258333	25.789	10.69	99.8326
0.260000	25.794	10.69	99.8327
0.261667	25.799	10.69	99.8330
0.263333	25.803	10.69	99.8331
0.265000	25.808	10.69	99.8328
0.266667	25.813	10.69	99.8315
