Filename	chinese fir rate 5(5)
Instrument name	0550-0170 (192.168.1.100)
Operator	yogesh
rundate	6/8/2019
Sample name	chinese fir
proceduresegments	Select Gas: Gas 1 ; Equilibrate 25.00 °C; Ramp 20 °C/min to 150.00 °C; Ramp 40 °C/min to 600.00 °C; Isothermal 5.0 min
[step]
Ramp 20 °C/min to 150.00 °C
Time	Temperature	Weight	Weight
min	°C	mg	%
0.00000	25.834	11.00	97.1723
1.66667e-3	25.834	11.00	97.1721
3.33333e-3	25.834	11.00	97.1718
5.00000e-3	25.834	11.00	97.1714
6.66667e-3	25.833	11.00	97.1712
8.33333e-3	25.833	11.00	97.1708
0.0100000	25.833	11.00	97.1705
0.0116667	25.833	11.00	97.1702
0.0133333	25.833	11.00	97.1699
0.0150000	25.833	11.00	97.1696
0.0166667	25.833	11.00	97.1693
0.0183333	25.833	11.00	97.1690
0.0200000	25.833	11.00	97.1687
0.0216667	25.833	11.00	97.1683
0.0233333	25.833	11.00	97.1680
0.0250000	25.833	11.00	97.1677
0.0266667	25.833	11.00	97.1674
0.0283333	25.833	11.00	97.1671
0.0300000	25.833	11.00	97.1668
0.0316667	25.833	11.00	97.1665
0.0333333	25.833	11.00	97.1662
0.0350000	25.833	11.00	97.1659
0.0366667	25.833	11.00	97.1656
0.0383333	25.833	11.00	97.1653
0.0400000	25.833	11.00	97.1650
0.0416667	25.833	11.00	97.1647
0.0433333	25.833	11.00	97.1644
0.0450000	25.833	11.00	97.1641
0.0466667	25.833	11.00	97.1638
0.0483333	25.833	11.00	97.1636
0.0500000	25.833	11.00	97.1633
0.0516667	25.833	11.00	97.1630
0.0533333	25.834	11.00	97.1627
0.0550000	25.834	11.00	97.1624
0.0566667	25.834	11.00	97.1621
0.0583333	25.834	11.00	97.1618
0.0600000	25.834	11.00	97.1615
0.0616667	25.834	11.00	97.1612
0.0633333	25.834	11.00	97.1610
0.0650000	25.834	11.00	97.1607
0.0666667	25.834	11.00	97.1604
0.0683333	25.835	11.00	97.1601
0.0700000	25.835	11.00	97.1599
0.0716667	25.835	11.00	97.1596
0.0733333	25.835	11.00	97.1593
0.0750000	25.835	11.00	97.1590
0.0766667	25.835	11.00	97.1588
0.0783333	25.836	11.00	97.1585
0.0800000	25.836	11.00	97.1582
0.0816667	25.836	11.00	97.1580
0.0833333	25.836	11.00	97.1577
0.0850000	25.837	11.00	97.1574
0.0866667	25.837	11.00	97.1572
0.0883333	25.837	11.00	97.1569
0.0900000	25.837	11.00	97.1566
0.0916667	25.838	11.00	97.1564
0.0933333	25.838	11.00	97.1561
0.0950000	25.838	11.00	97.1558
